IATA,City,Timezone
ZMG,Magdeburg,Europe/Berlin
CBU,Cottbus,Europe/Berlin
BER,Berlin,Europe/Berlin
DRS,Dresden,Europe/Berlin
ERF,Erfurt,Europe/Berlin
FRA,Frankfurt,Europe/Berlin
FMO,Munster,Europe/Berlin
HAM,Hamburg,Europe/Berlin
THF,Berlin,Europe/Berlin
CGN,Cologne,Europe/Berlin
DUS,Duesseldorf,Europe/Berlin
MUC,Munich,Europe/Berlin
NUE,Nuernberg,Europe/Berlin
LEJ,Leipzig,Europe/Berlin
SCN,Saarbruecken,Europe/Berlin
STR,Stuttgart,Europe/Berlin
TXL,Berlin,Europe/Berlin
HAJ,Hannover,Europe/Berlin
BRE,Bremen,Europe/Berlin
QEF,Egelsbach,Europe/Berlin
HHN,Hahn,Europe/Berlin
MHG,Mannheim,Europe/Berlin
EIB,Eisenach,Europe/Berlin
SGE,Siegerland,Europe/Berlin
XFW,Hamburg,Europe/Berlin
KEL,Kiel,Europe/Berlin
LBC,Luebeck,Europe/Berlin
ESS,Essen,Europe/Berlin
BFE,Bielefeld,Europe/Berlin
MGL,Moenchengladbach,Europe/Berlin
PAD,Paderborn,Europe/Berlin
DTM,Dortmund,Europe/Berlin
AGB,Augsburg,Europe/Berlin
OBF,Oberpfaffenhofen,Europe/Berlin
RBM,Straubing,Europe/Berlin
FDH,Friedrichshafen,Europe/Berlin
SZW,Parchim,Europe/Berlin
BYU,Bayreuth,Europe/Berlin
URD,Burg Feuerstein,Europe/Berlin
HOQ,Hof,Europe/Berlin
ZQW,Zweibruecken,Europe/Berlin
ZQL,Donaueschingen,Europe/Berlin
BWE,Braunschweig,Europe/Berlin
KSF,Kassel,Europe/Berlin
BRV,Bremerhaven,Europe/Berlin
EME,Emden,Europe/Berlin
WVN,Wilhelmshaven,Europe/Berlin
BMK,Borkum,Europe/Berlin
NRD,Norderney,Europe/Berlin
FLF,Flensburg,Europe/Berlin
GWT,Westerland,Europe/Berlin
KDL,Kardla,Europe/Tallinn
URE,Kuressaare,Europe/Tallinn
EPU,Parnu,Europe/Tallinn
TLL,Tallinn-ulemiste International,Europe/Tallinn
TAY,Tartu,Europe/Tallinn
ENF,Enontekio,Europe/Helsinki
KEV,Halli,Europe/Helsinki
HEM,Helsinki,Europe/Helsinki
HEL,Helsinki,Europe/Helsinki
HYV,Hyvinkaa,Europe/Helsinki
KTQ,Kitee,Europe/Helsinki
IVL,Ivalo,Europe/Helsinki
JOE,Joensuu,Europe/Helsinki
JYV,Jyvaskyla,Europe/Helsinki
KAU,Kauhava,Europe/Helsinki
KEM,Kemi,Europe/Helsinki
KAJ,Kajaani,Europe/Helsinki
KHJ,Kauhajoki,Europe/Helsinki
KOK,Kruunupyy,Europe/Helsinki
KAO,Kuusamo,Europe/Helsinki
KTT,Kittila,Europe/Helsinki
KUO,Kuopio,Europe/Helsinki
QLF,Vesivehmaa,Europe/Helsinki
LPP,Lappeenranta,Europe/Helsinki
MHQ,Mariehamn,Europe/Mariehamn
MIK,Mikkeli,Europe/Helsinki
OUL,Oulu,Europe/Helsinki
POR,Pori,Europe/Helsinki
RVN,Rovaniemi,Europe/Helsinki
SVL,Savonlinna,Europe/Helsinki
SOT,Sodankyla,Europe/Helsinki
TMP,Tampere,Europe/Helsinki
TKU,Turku,Europe/Helsinki
UTI,Utti,Europe/Helsinki
VAA,Vaasa,Europe/Helsinki
VRK,Varkaus,Europe/Helsinki
YLI,Ylivieska-raudaskyla,Europe/Helsinki
BFS,Belfast,Europe/London
ENK,Enniskillen,Europe/London
BHD,Belfast,Europe/London
LDY,Londonderry,Europe/London
BHX,Birmingham,Europe/London
CVT,Coventry,Europe/London
GLO,Golouchestershire,Europe/London
GBA,Pailton,Europe/London
MAN,Manchester,Europe/London
NQY,Newquai,Europe/London
LYE,Lyneham,Europe/London
YEO,Yeovilton,Europe/London
HAW,Haverfordwest,Europe/London
CWL,Cardiff,Europe/London
SWS,Swansea,Europe/London
BRS,Bristol,Europe/London
LPL,Liverpool,Europe/London
LTN,London,Europe/London
PLH,Plymouth,Europe/London
BOH,Bournemouth,Europe/London
SOU,Southampton,Europe/London
QLA,Lasham,Europe/London
ACI,Alderney,Europe/Guernsey
GCI,Guernsey,Europe/Guernsey
JER,Jersey,Europe/Jersey
ESH,Shoreham By Sea,Europe/London
BQH,Biggin Hill,Europe/London
LGW,London,Europe/London
LCY,London,Europe/London
FAB,Farnborough,Europe/London
BBS,Blackbushe,Europe/London
LHR,London,Europe/London
SEN,Southend,Europe/London
LYX,Lydd,Europe/London
MSE,Manston,Europe/London
CAX,Carlisle,Europe/London
BLK,Blackpool,Europe/London
HUY,Humberside,Europe/London
BWF,Barrow Island,Europe/London
LBA,Leeds,Europe/London
WRT,Warton,Europe/London
CEG,Hawarden,Europe/London
IOM,Isle Of Man,Europe/Isle_of_Man
NCL,Newcastle,Europe/London
MME,Teesside,Europe/London
EMA,East Midlands,Europe/London
KOI,Kirkwall,Europe/London
LSI,Sumburgh,Europe/London
WIC,Wick,Europe/London
ABZ,Aberdeen,Europe/London
INV,Inverness,Europe/London
GLA,Glasgow,Europe/London
EDI,Edinburgh,Europe/London
ILY,Islay,Europe/London
PIK,Prestwick,Europe/London
BEB,Benbecula,Europe/London
SCS,Scatsta,Europe/London
DND,Dundee,Europe/London
SYY,Stornoway,Europe/London
TRE,Tiree,Europe/London
ADX,Leuchars,Europe/London
LMO,Lossiemouth,Europe/London
CBG,Cambridge,Europe/London
NWI,Norwich,Europe/London
STN,London,Europe/London
EXT,Exeter,Europe/London
FZO,Bristol,Europe/London
OXF,Oxford,Europe/London
BEX,Benson,Europe/London
LKZ,Lakenheath,Europe/London
MHZ,Mildenhall,Europe/London
QUY,Wyton,Europe/London
